// ===== SPIRITS =====
#Spirits|Canadian Whisky|Liquor Store
Bask Pinot Noir|750ml|13.95
Bask Pinot Noir|3L|39.95
Bask Cabernet Sauvignon|750ml|13.95
Bodacious Bourbon Barrel Aged Red Blend|750ml|13.45
Bodacious Cabernet Sauvignon|750ml|13.45
Bodacious Cabernet Sauvignon|1.5L|21.95
Bodacious Smooth Red|750ml|12.45
Bodacious Smooth Red|1.5L|21.95
Bodacious Smooth Red|4L|45.95
Jackson-Triggs Cabernet Sauvignon Light|750ml|13.45
Jackson-Triggs Cabernet Sauvignon|750ml|13.45
Jackson-Triggs Cabernet Sauvignon|1.5L|19.95
Jackson-Triggs Merlot|1.5L|22.95
Jackson-Triggs Shiraz|750ml|12.95
Jackson-Triggs Shiraz|4L|46.95
Jackson-Triggs Proprietors' Selection Smooth Red|1.5L|22.95
Peller Family Vineyard Cabernet Merlot|1L|14.25
Peller Family Vineyard Red|1L|13.25
Peller Family Vineyard Red|1.5L|19.95
Peller Family Vineyard Red|4L|43.95
Peller Family Vineyard Shiraz|1.5L|18.95
Peller Family Vineyard Shiraz|4L|45.95
Brights Maria Christina Red|1.5L|17.95
Brights Maria Christina Red|4L|43.95
Honest Lot Cabernet Sauvignon|750ml|13.95
Honest Lot Cabernet Sauvignon|4L|44.95
#Wine|VQA Red|Liquor Store
Burnt Ship Bay Estate Cabernet Merlot VQA|750ml|15.95
Ramblers Schmoozer Cabernet Merlot VQA|750ml|15.95
Jack Pine Red VQA|750ml|16.95
D'Ont Poke The Bear Red VQA|750ml|14.95
Wayne Gretzky Baco Noir VQA|750ml|16.95
Wayne Gretzky Baco Noir VQA|3L|44.95
Kabaca Terrace Vineyard Syrah VQA 2021|750ml|35.15
Magnotta Equus Series Double Cab VQA|750ml|12.95
Magnotta Cabernet Sauvignon Merlot Venture Series VQA|750ml|14.95
Cave Spring Pinot Noir VQA|750ml|21.95
Sandbanks Pinot Grigio VQA|750ml|15.95
Family Tree The Boxer's Ghost Pinot Noir VQA|750ml|18.95
Family Tree The Bootlegger Baco Noir VQA|750ml|17.95
Family Tree The Goat Lady Chardonnay VQA|750ml|17.95
Vineland Estate Cabernet Franc VQA|750ml|13.95
Hidden Bench Estate Organic Pinot Noir VQA|750ml|38.95
Trius Cabernet Franc VQA|750ml|17.95
Trius Red VQA|750ml|24.95
Pelee Island Baco Noir VQA|750ml|14.95
Pelee Island Pinot Noir Reserve VQA|750ml|21.95
Pelee Island Pinot Noir VQA|3L|42.95
Henry of Pelham Baco Noir VQA|750ml|14.95
Henry of Pelham Baco Noir Old Vines VQA|750ml|19.95
Henry of Pelham Cabernet Merlot VQA|750ml|16.95
Henry of Pelham The School House Cabernet Merlot VQA|750ml|19.95
Henry of Pelham Pinot Grigio VQA|750ml|16.95
Red House Wine Co. Baco Noir Cabernet Sauvignon VQA|750ml|13.95
Tawse Growers Blend Pinot Noir VQA|750ml|29.95
Wayne Gretzky Cabernet Merlot VQA|750ml|16.95
Dockside Premium Red Blend VQA|750ml|9.95
Sandbanks Baco Noir VQA|750ml|15.95
Jackson-Triggs Reserve Merlot VQA|750ml|15.95
Jackson-Triggs Reserve Cabernet Franc Cabernet Merlot VQA|750ml|15.95
Open Smooth Red VQA|750ml|14.95
Open Cab 2 Merlot VQA|750ml|14.95
Peller Family Reserve Cabernet Merlot VQA|750ml|13.95
13th Street Burger Blend Gamay Noir Pinot Noir VQA|750ml|15.95
Hopetown Wine Co. Hill House Craft Red VQA|750ml|12.95
Creekside Cabernet Merlot VQA|750ml|15.95
Peninsula Ridge Cabernet Merlot VQA|750ml|16.95
The Foreign Affair The Conspiracy VQA|750ml|16.95
Inniskillin Pinot Noir VQA|750ml|18.95
Inniskillin Cabernet Merlot VQA|750ml|13.25
#Wine|VQA White|Liquor Store
Hopetown Wine Co. Sauvignon Blanc VQA|750ml|11.95
Popcorn Chardonnay VQA|750ml|17.95
Vineland Estates Unoaked Chardonnay VQA|750ml|13.95
Featherstone Four Feathers VQA|750ml|14.95
Flat Rock Cellars Chardonnay VQA|750ml|23.95
Chateau Des Charmes Riesling Off Dry VQA|750ml|13.95
Family Tree The Glass Eye Pinot Grigio VQA|750ml|17.95
Cave Spring Riesling Dry VQA|375ml|9.45
Peller Family Reserve Sauvignon Blanc VQA|750ml|13.95
Magnotta Pinot Grigio Chardonnay Venture Series VQA|750ml|14.95
Back 10 Start From Scratch Chardonnay VQA 2023|750ml|28.95
Featherstone Black Sheep Riesling VQA|750ml|19.95
Magnotta Equus Series Home Stretch White Blend VQA|750ml|12.95
Trius Pinot Grigio VQA|750ml|17.95
Saintly The Good Sauvignon Blanc VQA|750ml|19.00
Open Smooth White VQA|750ml|14.95
Open Pinot Grigio VQA|750ml|14.95
Strewn Chardonnay Barrel Aged VQA|750ml|18.95
Cave Spring Pinot Gris VQA|750ml|19.95
Henry Of Pelham Chardonnay VQA|750ml|16.95
Wayne Gretzky Chardonnay VQA|750ml|16.95
Wayne Gretzky Pinot Grigio VQA|750ml|16.95
Inniskillin Sauvignon Blanc VQA|750ml|15.95
Jackson-Triggs Reserve Sauvignon Blanc VQA|750ml|15.95
Inniskillin Riesling Pinot Grigio VQA|750ml|15.95
Peller Family Reserve Riesling VQA|750ml|13.95
Peller Family Reserve Chardonnay VQA|750ml|13.95
Peller Family Vineyards Dry White|1L|13.25
Family Tree The Soldier's Wife Sauvignon Blanc VQA|750ml|17.95
Peninsula Ridge Inox Chardonnay VQA|750ml|16.95
Pondview Dragonfly Pinot Grigio VQA|750ml|16.95
#Wine|Ontario White|Liquor Store
XOXO Pinot Grigio Chardonnay|750ml|9.95
XOXO Pinot Grigio Chardonnay|1.5L|16.95
XOXO Pinot Grigio Chardonnay|4L|42.95
XOXO Light Pinot Grigio|1.5L|19.95
Bask Sauvignon Blanc|750ml|13.95
Bask Chardonnay|750ml|13.95
Mindful Pinot Grigio Vidal VQA|750ml|13.95
Sawmill Creek Pinot Grigio Chardonnay|4L|44.95
Sola Nero White|1.5L|18.95
Hochtaler|4L|43.95
Keep Calm & Laugh Pinot Grigio|750ml|11.95
Pelee Island Best In Show Pinot Grigio|750ml|12.95
Honest Lot Pinot Grigio|750ml|13.95
Honest Lot Pinot Grigio|4L|44.95
Bask Pinot Grigio|750ml|13.95
Bodacious Smooth White|750ml|12.45
Sync Sauvignon Blanc|750ml|13.45
Smc Sauvignon Blanc|1L|13.75
Jackson-Triggs Proprietor's Selection Light Pinot Grigio|750ml|13.45
Jackson-Triggs Vidal|4L|44.95
Jackson-Triggs Sauvignon Blanc|750ml|12.45
Jackson-Triggs Sauvignon Blanc|1.5L|22.95
Jackson-Triggs Sauvignon Blanc|4L|46.95
Jackson-Triggs Pinot Grigio|750ml|13.45
Jackson-Triggs Pinot Grigio|1.5L|20.95
Jackson-Triggs Pinot Grigio|4L|48.95
Jackson-Triggs Chardonnay|750ml|12.95
Jackson-Triggs Chardonnay|1.5L|22.95
Naked Grape Pinot Grigio|750ml|10.95
Peller Family Vineyards Pinot Grigio|750ml|13.25
Peller Family Vineyards Pinot Grigio|1.5L|20.95
Peller Family Reserve Chardonnay|1.5L|21.95
Peller Family Vineyards Sauvignon Blanc|4L|45.95
Colio Dry White|1.5L|17.95
Colio Dry White|4L|43.95
Colio Extra Dry White|4L|43.95
#Wine|Vintage|Liquor Store
Borro Polissena Valdarno di Sopra Sangiovese 2019|750ml|72.95
Bertinga Toscana 2018|750ml|69.95
Fattoria Carpineta Fontalpino Do Ut Des 2019|750ml|62.95
Binyamina Reserva Cabernet Sauvignon KP 2020|750ml|56.50
JoirFarm En Famille Pinot Noir 2022|750ml|53.95
Domaine L'Espiegle Gamma-Rays 2024|750ml|52.95
Domaine Cluny Bourgogne Cote d'Or Pinot Noir|750ml|29.95
Bordertown Merlot 2020|750ml|49.95
Tenuta Falezza Amerone della Valpolicella 2020|750ml|49.95
Rosewood Pinot Noir 2020|750ml|49.95
Barkan Platinum Cabernet Sauvignon KPM|750ml|49.75
Stratus Cabernet Franc 2022|750ml|45.20
Trivento Stratus 2022|750ml|39.95
Chateau de Maligny Chablis 2024|750ml|39.95
La Chablisienne Le Finage Chablis 2024|750ml|37.95
Kbaca Vineyards Merlot VQA 2021|750ml|35.15
Marchand-Tawse Fleurie 2022|750ml|34.95
Esporao Reserva Red|750ml|28.95
Rocca delle Macie Riserva Chianti Classico 2022|750ml|26.95
Voyager Shiraz 2022|750ml|24.95
Wakefield Jaraman Shiraz 2024|750ml|24.95
Kim Crawford Pinot Grigio 2025|750ml|21.95
Catena High Mountain Vines Chardonnay 2024|750ml|21.95
Cantina Tramin T Cuvee Bianco 2024|750ml|20.95
Ruby Gem Rock Cellar Gamay Noir 2024|750ml|19.95
Santa Margherita Pinot Grigio|750ml|19.95
Thornbury Sauvignon Blanc 2024|750ml|19.95
Santa Carolina Reserva de Familia Cabernet Sauvignon|750ml|19.95
#Wine|Rose|Liquor Store
Sawmill Creek Rose VQA|3L|33.80
Bodacious Rose VQA|750ml|11.95
Baglietti No 1 Organic Rose 2025|750ml|15.95
Popcorn Rose VQA|750ml|17.95
Lapin Bleu Cinsault Rose|750ml|10.95
Chateau Aqueria Tavel Rose 2025|750ml|25.95
Featherstone Rose 2025|750ml|16.95
Westcott Pinot Noir Rose VQA 2025|750ml|22.95
Peller Family Vineyard Rose|1.5L|19.95
Pelee Island Lola Sparkling Rose VQA|750ml|16.95
Pelee Island Pelee Pink VQA|750ml|13.95
Pelee Island Lola Sparkling Rose VQA|250ml|5.95
Pelee Island Lola Cabernet Franc Rose 2021|750ml|18.95
Kittling Ridge White Zinfandel Vidal|750ml|10.95
Kittling Ridge White Zinfandel Vidal|1.5L|18.95
Colio Blush Rose|1.5L|17.95
Henry Of Pelham Rose VQA|750ml|15.95
Tawse Grower's Blend Rose VQA 2025|750ml|18.95
Keep Calm and Love Pinot Grigio Rose|750ml|11.95
Peller Family Vineyards Rose|4L|43.95
Hidden Bench Locust Lane Rose VQA 2025|750ml|26.95
Girls' Night Out Rose VQA|750ml|13.95
Cave Spring Dry Rose VQA|750ml|17.95
Malivoire Ladybug Rose VQA|750ml|17.95
Malivoire Vivant Rose VQA 2025|750ml|23.95
Sandbanks Rose VQA|750ml|14.95
Trius Rose VQA|750ml|19.95
Jackson-Triggs Proprietors Selection Light Rose|650ml|13.45
#Wine|Champagne|Liquor Store
Champagne Pommery Brut Rose|750ml|89.95
Perrier-Jouet Grand Brut Champagne|750ml|87.50
Laurent-Perrier Cuvee Brut Rose Champagne|750ml|114.95
Mumm Grand Cordon Brut Champagne|750ml|78.95
Moet & Chandon Brut Imperial Champagne|200ml|28.95
Moet & Chandon Brut Imperial Champagne|375ml|47.95
Moet & Chandon Brut Imperial Champagne|750ml|79.80
Moet & Chandon Brut Imperial Champagne|1.5L|172.05
Moet & Chandon Nectar Imperial|750ml|90.65
Moet & Chandon Nectar Imperial Rose|750ml|104.20
Moet & Chandon Brut Rose Champagne|750ml|99.70
Moet & Chandon Ice Imperial Champagne|750ml|99.35
Louis Roederer Collection Brut Premier Champagne|750ml|99.95
Dom Perignon Brut Vintage Champagne|750ml|351.95
Armand de Brignac Ace of Spades Brut Gold Champagne|750ml|398.95
Louis Roederer Cristal Brut Champagne|750ml|468.95
Bollinger Special Cuvee Brut Champagne|750ml|104.95
Taittinger Brut Reserve Champagne|750ml|91.15
Taittinger Prestige Rose Champagne|750ml|103.55
Veuve Clicquot Brut Rose Champagne|750ml|103.90
Veuve Clicquot Brut Champagne|750ml|87.95
Veuve Clicquot Brut Champagne|375ml|49.95
Veuve Clicquot Brut Champagne|1.5L|188.00
Pol Roger Brut Champagne|750ml|92.95
Champagne Victoire Brut Rose|750ml|49.60
Champagne Victoire Brut Prestige|750ml|46.95
Tarlant Brut Reserve Champagne|750ml|55.30
Nicolas Feuillatte Brut Champagne|750ml|62.95
#Wine|Sparkling|Liquor Store
Cave Spring Estate Brut Rose Sparkling|750ml|39.95
Bottega Gold Prosecco|750ml|30.95
Bottega Vino Dei Poeti Prosecco|750ml|19.95
Bread & Butter Prosecco|750ml|19.95
Mionetto Prestige Prosecco Brut|750ml|19.95
Mionetto Extra Dry Rose Millesimato Prosecco|750ml|19.75
Bottega Prosecco Rose Brut|750ml|19.95
Ruffino Prosecco|750ml|19.95
Ruffino Prosecco Rose|750ml|19.50
Fiol Prosecco|750ml|18.80
Poeti Prosecco Superiore Brut Veneto 2024|750ml|29.95
Martini Asti|375ml|9.00
Martini Asti|750ml|16.40
Martini Asti|1.5L|27.95
Santa Margherita Brut Valdobbiadene Pros Super|750ml|22.95
Santa Margherita Brut Rose Sparkling|750ml|21.95
Josh Cellar Prosecco Rose|750ml|21.95
Brilla Prosecco Rosato 3x200ml|600ml|19.95
Brilla Prosecco 3x200ml|600ml|19.95
Blu Giovello Prosecco|750ml|17.95
Villa Sandi Fresco Prosecco|750ml|17.95
Martini Prosecco|750ml|17.95
Freixenet Prosecco|750ml|22.95
La Marca Prosecco|750ml|22.00
La Marca Prosecco Rose|750ml|22.00
Bailly Lapierre Reserva Brut Cremant de Bourgogne|750ml|23.45
De Chancery Cremant De Loire Rose Brut|950ml|19.95
Luc Belaire Rare Rose Sparkling|750ml|42.95
Veuve Abal Cremant De Bourgogne Grande Cuvee Brut|750ml|22.90
La Vieille Ferme Reserve Brut Sparkling|750ml|14.55
Trius Brut VQA|750ml|26.95
Saintly The Good Sparkling VQA|750ml|16.95
Bask Lightly Sparkling Rose|750ml|13.95
Peller Family Reserve Secco Bubbles VQA|750ml|12.95
Peller Radiance Bubbles VQA|750ml|14.95
Peller Family Reserve Rose Bubbles VQA|750ml|14.95
XOXO Pinot Grigio Chardonnay Sparkling|750ml|12.95
Baby Duck|750ml|9.95
Baby Duck|1.5L|13.95
Jackson-Triggs Sparkling Reserve VQA|750ml|18.95
Trius Brut Rose Sparkling VQA|750ml|29.95
Honest Lot Sparkling VQA|750ml|14.95
Spumante Babino Peach|750ml|11.95
Spumante Babino|750ml|11.95
Spumante Babino|1.5L|19.95
Mindful Sparkling VQA|750ml|17.95
Henry of Pelham Sparkling Wine VQA|750ml|18.95
Brights President Dry Sparkling|750ml|14.95
Yellow Tail Bubbles|750ml|16.95
Yellow Tail Bubbles Rose|750ml|16.95
Jacob's Creek Moscato Rose Sparkling|750ml|14.95
Join Sparkling|250ml|5.50
Segura Viudas Brut Reserva Cava|750ml|17.95
#Wine|Fortified|Liquor Store
Imperial Fortified Wine|750ml|11.95
Wincarnis Aperitif Wine|750ml|12.15
Kourtaki Mavrodaphne Of Patras Sweet Red Wine|750ml|17.50
Sandman Ruby Port|750ml|17.90
Kittling Ridge Kingsgate Cream Apera Reserve Vidal VQA|750ml|11.45
Kittling Ridge Kingsgate Canadian Apera Reserve VQA|750ml|11.45
Brights Classic Cream|750ml|11.95
Brights 74 Tawny|1L|15.95
Brights Pale Dry Select|750ml|11.95
PJ's Salted Caramel Panama Jack's|750ml|24.95
PJ's Original Cream|1.14L|33.95
Sperone Marsala Fine IP Dry|750ml|16.55
Sperone Cremovo Marsala Fine|750ml|16.55
Andres Golden Cream Opera|750ml|11.45
Andres Fine Old Apera|750ml|11.45
Taylor Fladgate Late Bottled Vintage Port|375ml|11.95
Taylor Fladgate Late Bottled Vintage Port|750ml|20.95
Taylor Fladgate First Estate Reserve Port|750ml|19.20
Taylor Fladgate 10 Year Tawny Port|750ml|34.95
Fonseca White Port|750ml|19.95
Martini Dry Vermouth|500ml|10.95
Martini Dry Vermouth|1L|17.95
Martini Rosso Vermouth|500ml|10.95
Martini Rosso Vermouth|1L|17.95
Martini Bianco Vermouth|1L|17.95
Cinzano Rosso Sweet Vermouth|1L|17.95
Cocchi Vermouth Di Torino|750ml|35.10
Dolin Vermouth De Chambery Dry|750ml|17.80
Harveys Bristol Cream Sherry|750ml|20.45
Harveys Bristol Cream Sherry|1L|26.15
Kopke LBV Port 2020|750ml|24.95
Graham's Late Bottled Vintage Port|750ml|21.95
// ===== BEER =====
#Beer|Beer|Beer Store
Labatt Blue|473ml Tallboy|2.55
Labatt Blue|6x473ml|15.05
Labatt Blue|12x473ml|28.87
Labatt Blue|24x473ml|54.37
Labatt Blue|15x355ml|32.95
Labatt Blue|24x355ml|49.85
Labatt Blue|30x355ml|58.36
Labatt Blue|24x341ml Bottles|48.15
Labatt Maximum Ice|473ml Tallboy|3.14
Labatt Maximum Ice|6x473ml|18.10
Labatt Maximum Ice|12x473ml|34.52
Labatt Maximum Ice|24x473ml|66.80
Molson Canadian|473ml Tallboy|3.25
Molson Canadian|6x473ml|18.90
Molson Canadian|12x473ml|30.00
Molson Canadian|24x473ml|59.91
Molson Canadian|24x355ml|54.37
Molson Canadian|30x355ml|56.10
Molson Canadian|24x341ml Bottles|49.85
Molson Cold Shots|473ml Tallboy|2.65
Busch Bullet|4x222ml|5.25
Busch Bullet|12x222ml|15.16
Busch Bullet|24x222ml|30.30
Laker Ice|473ml Tallboy|2.52
Laker Ice|6x473ml|14.71
Laker Ice|12x473ml|25.48
Laker Ice|24x473ml|50.87
Laker Lager|473ml Tallboy|2.46
Laker Lager|6x473ml|14.15
Laker Lager|24x473ml|52.11
Laker Red|473ml Tallboy|2.52
Laker Red|24x473ml|54.37
Coors Light|473ml Tallboy|3.25
Coors Light|6x473ml|18.10
Coors Light|12x473ml|31.13
Coors Light|24x473ml|63.70
Coors Light|24x355ml|54.37
Coors Light|30x355ml|61.75
Coors Original|473ml Tallboy|3.40
Coors Original|24x473ml|68.56
Coors Original|24x355ml|58.89
Busch|473ml Tallboy|2.55
Busch|24x473ml|54.37
Busch|24x355ml|49.85
Busch|30x355ml|58.36
Busch Ice|473ml Tallboy|2.52
Busch Ice|24x473ml|54.37
Busch Ice|30x355ml|58.36
Busch Light|473ml Tallboy|2.55
Busch Light|24x473ml|54.37
Busch Light|24x355ml|49.85
Budweiser|473ml Tallboy|3.25
Budweiser|6x473ml|18.10
Budweiser|12x473ml|33.39
Budweiser|24x473ml|63.41
Budweiser|24x355ml|54.37
Budweiser|30x355ml|58.36
Bud Light|473ml Tallboy|3.25
Bud Light|6x473ml|18.10
Bud Light|12x473ml|30.00
Bud Light|24x473ml|61.04
Bud Light|24x355ml|54.37
Bud Light|30x355ml|61.75
Heineken|500ml Tallboy|3.93
Heineken|6x500ml|22.06
Heineken|12x500ml|40.74
Heineken|24x500ml|75.27
Heineken|6x330ml cans|18.75
Heineken|24x330ml cans|59.68
Heineken Silver|6x330ml|17.50
Heineken Silver|6x500ml|20.55
Old Milwaukee Ice|473ml Tallboy|2.55
Old Milwaukee Ice|24x473ml|54.37
Old Milwaukee Red|473ml Tallboy|2.52
Old Milwaukee Red|24x473ml|54.37
Pabst Blue Ribbon|473ml Tallboy|2.55
Pabst Blue Ribbon|24x473ml|54.37
Pabst Blue Ribbon|24x355ml|49.85
Michelob Ultra|473ml Tallboy|3.48
Michelob Ultra|6x473ml|19.23
Michelob Ultra|24x473ml|69.06
Michelob Ultra|24x355ml|58.89
Stella Artois|473ml Tallboy|3.93
Stella Artois|6x473ml|22.06
Stella Artois|24x473ml|75.27
Stella Artois|24x330ml Bottles|56.63
Carling Ice|473ml Tallboy|2.55
Carling Ice|24x473ml|54.37
Carling Lager|473ml Tallboy|2.52
Carling Lager|24x473ml|54.37
Moosehead|473ml Tallboy|3.25
Moosehead|6x473ml|18.45
Moosehead|24x473ml|62.28
Moosehead Cracked Canoe|473ml Tallboy|3.25
Moosehead Cracked Canoe|24x473ml|62.28
Guinness Draught Stout|500ml Tallboy|4.00
Guinness Draught Stout|4x440ml|13.95
Guinness Draught Stout|8x440ml|27.30
Guinness Draught Stout|24x500ml|78.45
Guinness Extra Stout|6x330ml|17.30
Corona Extra|473ml Tallboy|3.93
Corona Extra|6x473ml|22.06
Corona Extra|24x473ml|75.27
Corona Extra|24x330ml Bottles|60.02
Faxe Extra Strong 10%|568ml|4.35
Faxe Extra Strong 10%|24x568ml|99.31
Faxe Premium Lager 5%|568ml|2.85
Molson Dry|24x355ml|49.85
Molson Export|473ml Tallboy|3.25
Molson Export|24x473ml|63.41
Molson Export|24x355ml|54.37
Miller High Life|473ml Tallboy|2.52
Miller High Life|24x473ml|50.87
Miller Genuine Draft|473ml Tallboy|3.48
Miller Genuine Draft|24x473ml|69.06
Miller Light|473ml Tallboy|3.48
Miller Light|6x473ml|19.23
Miller Light|24x473ml|69.06
Miller Light|24x355ml|58.89
Alexander Keiths|473ml Tallboy|3.48
Alexander Keiths|6x473ml|19.95
Alexander Keiths|24x473ml|70.19
Alexander Keiths|24x341ml Bottles|52.11
Millstreet Original Organic|473ml Tallboy|3.82
Millstreet Original Organic|24x473ml|72.45
Lowenbrau|473ml Tallboy|2.55
Lowenbrau|24x473ml|54.37
James Ready 6.0|473ml Tallboy|2.55
James Ready 6.0|24x473ml|54.37
James Ready 5.5|473ml Tallboy|2.52
James Ready 5.5|24x473ml|50.98
Sapporo|500ml Tallboy|3.93
Sapporo|6x500ml|22.06
Sapporo|24x500ml|75.27
Sapporo|650ml|6.00
Sleeman Clear 2.0|473ml Tallboy|3.25
Sleeman Clear 2.0|24x473ml|63.41
Tuborg Gold|473ml Tallboy|2.65
Tuborg Gold|24x473ml|56.58
Steam Whistle|473ml Tallboy|3.82
Steam Whistle|6x473ml|20.93
Steam Whistle|24x473ml|66.80
Grolsch Premium Pilsner|473ml Tallboy|3.37
Grolsch Premium Pilsner|24x473ml|67.76
Old Style Pilsner|473ml Tallboy|2.46
Old Style Pilsner|24x473ml|50.87
Tyskie|500ml Tallboy|3.05
Tyskie|24x500ml|69.14
Zywiec Beer|500ml Tallboy|2.95
Zywiec Beer|24x500ml|55.95
Lech|500ml|3.00
Zubr|500ml|3.10
Lomza Lager|500ml|2.85
Karlovacko|500ml|2.90
Tatra|500ml|2.90
Lezajsk Beer|500ml|2.90
Warka|500ml|3.15
Golden Pheasant|500ml|3.30
Kozel|500ml Tallboy|3.10
Kozel|24x500ml|69.83
Dab Original Lager|440ml Tallboy|2.70
Dab Original Lager|24x440ml|58.85
Dab Maibock|500ml Tallboy|2.95
Dab Maibock|24x500ml|65.95
Bavaria Premium|500ml Tallboy|2.85
Bavaria Premium|24x500ml|60.69
Bavaria 8.6|500ml Tallboy|3.80
Bavaria 8.6|24x500ml|82.63
Rickards Red|473ml Tallboy|3.48
Rickards Red|6x473ml|18.89
Rickards Red|24x473ml|69.06
Asahi Super Dry|500ml Tallboy|3.95
Asahi Super Dry|24x500ml|75.27
Asahi Super Dry|24x330ml Bottles|55.50
Blue Moon Belgian White|473ml Tallboy|3.48
Blue Moon Belgian White|6x473ml|19.23
Blue Moon Belgian White|24x473ml|67.82
Dragon Stout|6x284ml|16.00
Dragon Stout|24x284ml|55.50
Peroni Nastro Azzurro|500ml Tallboy|3.95
Peroni Nastro Azzurro|24x330ml Bottles|60.02
Carlsberg|473ml Tallboy|3.37
Carlsberg|24x473ml|61.94
Carlsberg Light|473ml Tallboy|3.37
Carlsberg Light|24x473ml|67.70
Pilsner Urquell|500ml Tallboy|3.55
Pilsner Urquell|24x500ml|73.58
Amsterdam Boneshaker|6x473ml|21.95
Amsterdam Boneshaker|24x473ml|74.95
Hollandia Lager|500ml Tallboy|2.80
Hollandia Lager|4x500ml|10.60
Maclays Traditional Pale Ale|473ml Tallboy|2.55
Maclays Traditional Pale Ale|24x473ml|54.37
Hacker-Pschorr Munich Gold Lager|500ml Tallboy|2.95
Hacker-Pschorr Munich Gold Lager|24x500ml|63.36
Czechvar Premium Lager|500ml|2.80
Czechvar Dark Lager|500ml|3.15
Crest|500ml|4.25
Erdinger Weissbier|500ml|4.15
Obolon Lager|500ml|2.70
Kostritzer Edel Pils|500ml|2.55
Kostritzer Schwartzbier|500ml|3.30
Kingfisher Lager|330ml|2.70
Berliner Pilsner|500ml|2.70
Jever Pilsner|500ml|2.95
Warsteiner Premium Pilsner|500ml|2.95
Okocim Mocne|500ml|2.85
Kaiser|500ml|2.85
Paulaner Munich Helles|500ml|2.90
Bitburger Pilsner|500ml|3.25
8.6 Cherry Strong Beer|500ml|3.35
Tennent's Export Lager|500ml|3.40
Kronenbourg 1664 Blanc|473ml|3.40
Harp Lager|500ml|3.45
Smithwick's Ale|500ml|3.45
Tecate|473ml|3.50
Tiger Lager|500ml|3.50
Birra Moretti|500ml|3.80
Kilkenny Irish Ale|4x500ml|12.80
Tsingtao|6x330ml|13.45
Super Bock|6x330ml|14.85
Sol|6x330ml|15.95
Daura Damm|6x330ml|17.20
Dos Equis Lager|6x355ml|18.00
Madri Exceptional|6x473ml|18.95
Modelo Especial|6x355ml|18.95
Modelo Especial|12x355ml|33.45
Negra Modelo|6x355ml|18.95
#Beer|Craft Beer|Beer Store
Stonewall Light|275ml|1.90
St. Andre Bohemian Lager|473ml|2.00
Cowbell Standard Light Lager|473ml|2.85
Cowbell Smooth Sailing Light Lager|473ml|3.50
Cowbell Shindig Lager|473ml|3.50
Lower West Side West Coast IPA|473ml|2.95
Hacker Pschorr Keller Bier|500ml|3.00
Hacker Pschorr Weisse Bier|500ml|3.00
Great Lakes Brewery Lager|473ml|3.00
Hockley Amber|473ml|3.05
Hockley Dark|473ml|3.05
Hockley Classic|473ml|3.05
Georgian Bay Dipper|473ml|3.05
St. Ambroise Oatmeal Stout|473ml|3.05
Nickel Brook Cause & Effect|473ml|3.10
Nickel Brook Naughty Neighbour American Pale Ale|473ml|3.75
Nickel Brook Head Stock West Coast IPA|473ml|3.85
Nickel Brook Wicked Awesome IPA|473ml|3.85
Storyteller Lager|473ml|3.10
Triple Bogey Lager|473ml|3.10
Great Lakes Brewery Pompous Ass English Ale|473ml|3.10
Great Lakes Brewery Sunnyside Session IPA|473ml|3.35
Great Lakes Brewery Canuck Pale Ale|473ml|3.35
Great Lakes Brewery Burst|473ml|3.35
Great Lakes Brewery Hazemama|473ml|3.75
Great Lakes Brewery Octopus Wants To Fight IPA|473ml|3.75
Tobermory Brewing Fireban Amber Ale|473ml|3.35
Big Rig Gold|473ml|3.15
St. Ambroise Apricot|473ml|3.20
Side Launch Northbound Lager|473ml|3.25
Cameron's Captain's Log Lager|473ml|3.25
Collective Arts Lager|473ml|3.25
Thornbury Blue Mountain Light Lager|473ml|3.25
Goose Island IPA|473ml|3.35
Beau's Lug Tread|473ml|3.40
Innis & Gunn Original|473ml|3.85
Innis & Gunn Tequila Cask Blonde|473ml|3.45
Henderson X Rush Canadian Golden Ale|473ml|3.45
Waterloo Dark|473ml|3.45
Lake Of Bays Low Tide 90 Calorie IPA|473ml|3.50
Old Credit Pale Pilsner|473ml|3.50
Bellwoods Ultra|473ml|3.50
Wellington Brewery Upside IPA|473ml|3.55
Bench Brewing Lincoln County|473ml|3.55
Bench Brewing Ripple Effect Pale Ale|473ml|3.60
Steam Whistle Premium Pilsner|473ml|3.75
Amsterdam Blonde Lager|568ml|3.60
Amsterdam 3 Speed Lager|568ml|3.60
Amsterdam Boneshaker Eclipse IPA|473ml|3.85
Creemore Lot 9 Pilsner|473ml|3.70
Side Launch Hazy IPA|473ml|3.75
Muskoka Brewery Cream Ale|473ml|3.85
Muskoka Brewery Detour|473ml|3.85
Muskoka Brewery Mad Tom IPA|473ml|3.95
Flying Monkeys Velvety Bubble Lord Blueberry Sour|473ml|3.85
Flying Monkeys Sparklepuff Triple IPA|473ml|4.70
Flying Monkeys Chocolate Manifesto|473ml|5.55
Flying Monkeys Juicy Ass|473ml|3.95
Flying Monkeys Juicy Ass|6x473ml|21.95
#Beer|Non-Alcoholic|Beer Store
Partake Non-Alcoholic Pale Ale|355ml|2.00
Partake Non-Alcoholic IPA|355ml|2.00
Clausthaler Premium Non Alcoholic|500ml|2.45
Budweiser ZERO|473ml|2.50
Collective Arts Non Alcoholic Pale Ale|355ml|2.75
