// ===== SPIRITS =====
#Spirits|Canadian Whisky|Liquor Store
Iceberg Vodka|1.14L|45.95
Iceberg Vodka|1.75L|69.95
Tag No.5 Vodka|375ml|15.95
Tag No.5 Vodka|750ml|29.95
Tag No.5 Vodka|1.14L|44.95
Tag No.5 Vodka|1.75L|65.95
Alberta Pure Vodka|375ml|16.95
Alberta Pure Vodka|750ml|30.95
Alberta Pure Vodka|1.75L|69.95
Finlandia Vodka|375ml|19.95
Finlandia Vodka|750ml|30.95
Finlandia Vodka|1.14L|46.95
Finlandia Vodka|1.75L|71.15
Belvedere Pure Vodka|375ml|29.55
Belvedere Pure Vodka|750ml|56.50
Belvedere Pure Vodka|1.14L|81.30
Belvedere Pure Vodka|1.75L|127.05
Prince Igor Vodka|750ml|29.50
Prince Igor Vodka|1.14L|47.85
Prince Igor Vodka|1.75L|66.95
Smirnoff Vodka|200ml|9.95
Smirnoff Vodka|375ml|17.45
Smirnoff Vodka|750ml|29.95
Smirnoff Vodka|1.14L|46.95
Smirnoff Vodka|1.75L|67.95
Smirnoff Vodka|3L|122.85
Crystal Head Vodka Lunar|700ml|129.95
Crystal Head Vodka|750ml|60.40
Ciroc Vodka|750ml|50.05
Stoli Vodka|375ml|19.00
Stoli Vodka|750ml|31.05
Stoli Vodka|1.14L|48.90
Stoli Vodka|1.75L|68.70
Banff Ice Vodka|375ml|16.95
Banff Ice Vodka|750ml|30.95
Banff Ice Vodka|1.14L|45.95
Luksusowa Vodka|750ml|34.05
Luksusowa Vodka|1.14L|49.15
Luksusowa Vodka|1.75L|71.20
Sky Vodka|750ml|32.75
Sky Vodka|1.14L|46.85
Zirkova One Ultra Premium Vodka|750ml|34.50
Zirkova One Ultra Premium Vodka|1.14L|52.20
#Spirits|Flavoured Vodka|Liquor Store
Cottage Springs Ontario Peach Flavoured Vodka|750ml|31.95
Finlandia Grapefruit Vodka|750ml|32.95
Wolfhead Banana Caramel Vodka|375ml|21.05
Au Vodka Black Grape|750ml|58.10
Zirkova Together Limited Edition Vodka|1.14L|46.05
Zubrowka Bison Vodka|750ml|38.65
Grey Goose Berry Rouge Vodka|750ml|49.95
Grey Goose Le Citron Vodka|750ml|49.95
Grey Goose La Poire Vodka|750ml|49.95
Ciroc Peach Vodka|750ml|52.05
Ciroc Pineapple Vodka|750ml|50.05
Ciroc Watermelon Vodka|750ml|52.00
Ciroc Passion Vodka|750ml|52.05
Ciroc Red Berry Vodka|750ml|52.05
Ciroc Limonata Vodka|750ml|52.05
Ciroc Apple Vodka|750ml|40.20
HIP Vodka Mango|750ml|35.85
HIP Watermelon Vodka|750ml|35.85
Polar Ice Orange Blizzard Vodka|750ml|30.95
Polar Ice Berry Blizzard Vodka|750ml|29.95
Absolut Peach Vodka|750ml|31.95
Absolut Raspberri Vodka|375ml|18.45
Absolut Raspberri Vodka|750ml|31.95
Absolut Tabasco Vodka|750ml|30.95
Absolut Citron Vodka|750ml|31.95
Absolut Lime Vodka|750ml|30.95
Absolut Mandrin Vodka|750ml|31.95
Absolut Watermelon Vodka|750ml|31.95
Smirnoff Blueberry Vodka|750ml|30.95
Smirnoff Vanilla Vodka|750ml|30.95
Smirnoff Raspberry Vodka|750ml|30.95
Smirnoff Pink Lemonade Vodka|750ml|30.95
Smirnoff Lime Vodka|750ml|30.95
Smirnoff Peach Lemonade Vodka|750ml|30.95
Smirnoff Berry Blast Vodka|750ml|31.15
Dixon's Silvercreek Peach Mango Vodka|750ml|35.10
Dixon's Silvercreek Blood Orange Vodka|750ml|32.35
#Spirits|Dark Rum|Liquor Store
Brugal Anejo Rum|750ml|32.95
Lamb's Spiced Rum|750ml|31.15
Lamb's Navy Rum|1.14L|46.85
Newfoundland Screech Rum|750ml|29.50
Twin Fin Spiced Golden Rum|700ml|42.95
Angostura 1919 8 Year Rum|750ml|45.20
Stroh Original 54 Spiced Rum|750ml|42.85
The Salford Rum|700ml|47.55
Diplomatico Mantuano Rum|750ml|43.45
Diplomatico Reserva Exclusiva Rum|750ml|64.40
Bumbu Original Rum|750ml|59.95
Bumbu XO Rum|750ml|67.00
Gosling's Bermuda Black Seal Rum|750ml|36.25
Gosling's Black Seal Rum 151 Proof|750ml|56.10
Ron Barcelo Imperial Rum|750ml|43.85
Ron Zacapa 23 Centenario Rum|750ml|88.85
Planteray Grande Reserve|750ml|33.90
Planteray XO 20th Anniversary Rum|750ml|80.45
Flor de Cana 7 Year Gran Reserva Rum|750ml|38.95
Flor de Cana Centenario 12 Year Rum|750ml|46.95
Flor de Cana Eco-15 Rum|750ml|59.95
The Kraken Black Spiced Rum|375ml|20.20
The Kraken Black Spiced Rum|750ml|34.95
The Kraken Black Spiced Rum|1.14L|49.95
The Kraken Black Spiced Rum|1.75L|69.95
Mount Gay Eclipse Rum|750ml|38.95
Mount Gay Black Barrel Double Cask Rum|750ml|69.95
Mount Gay Eclipse Rum|1.14L|52.50
Mount Gay Eclipse Rum|1.75L|81.45
Havana Club Anejo Reserva Rum|750ml|33.95
Havana Club Anejo Reserva Rum|1.14L|51.95
Havana Club 7 Year Rum|750ml|41.95
El Dorado 5 Year Rum|750ml|34.95
El Dorado 5 Year Rum|1.14L|47.80
El Dorado 8 Year Cask Aged Demerara Rum|750ml|39.95
El Dorado 12 Year Rum|750ml|49.95
El Dorado Special Reserve 15 Year Rum|750ml|79.95
El Dorado 21 Year Rum|750ml|139.95
El Dorado 25 Year Demerara Rum|750ml|550.15
Bacardi Gold Rum|200ml|10.75
Bacardi Gold Rum|375ml|18.75
Bacardi Gold Rum|750ml|31.95
Bacardi Gold Rum|1.75L|68.95
Bacardi 8 Year Reserva Gold Rum|750ml|41.95
Bacardi Black Rum|750ml|29.95
Bacardi Black Rum|1.14L|47.95
Appleton Estate Signature Rum|200ml|10.95
Appleton Estate Signature Rum|375ml|18.95
Appleton Estate Signature Rum|750ml|33.25
Appleton Estate Signature Rum|1.14L|47.45
Appleton Estate Signature Rum|1.75L|70.95
Appleton Estate Reserve 8 Year Rum|750ml|42.45
Appleton Estate 15 Year|750ml|84.50
Appleton Estate 21 Year Rum|750ml|164.60
Captain Morgan Dark Rum|375ml|18.45
Captain Morgan Dark Rum|750ml|31.45
Captain Morgan Dark Rum|1.14L|46.85
Captain Morgan Dark Rum|1.75L|69.95
Captain Morgan Gold Rum|750ml|31.45
Captain Morgan Gold Rum|1.75L|69.95
Captain Morgan 100 Proof Rum|750ml|33.95
Captain Morgan Original Spiced Rum|200ml|10.95
Captain Morgan Original Spiced Rum|375ml|18.95
Captain Morgan Original Spiced Rum|750ml|33.95
Captain Morgan Original Spiced Rum|1.14L|47.95
Captain Morgan Original Spiced Rum|1.75L|69.95
#Spirits|White Rum|Liquor Store
Planteray 3 Star White Rum|750ml|30.35
Pituca Cachaca Rum|750ml|31.55
Leblon Cachaca Rum|750ml|44.00
Kavo Greek Island Rum|700ml|39.95
Persian Empire Coconut Rum|750ml|28.65
Angostura White Oak Rum|750ml|29.95
Captain Morgan Pineapple Flavoured Rum|750ml|31.45
Twin Fin Coconut Lychee Rum|700ml|42.60
Wray & Nephew White Overproof Rum|375ml|24.00
Wray & Nephew White Overproof Rum|750ml|45.95
Lamb's Classic White Rum|750ml|31.15
Lamb's Classic White Rum|1.14L|46.85
Lamb's Classic White Rum|1.75L|69.95
Bacardi Superior White Rum|200ml|10.15
Bacardi Superior White Rum|375ml|16.45
Bacardi Superior White Rum|750ml|29.95
Bacardi Superior White Rum|1.14L|43.25
Bacardi Superior White Rum|1.75L|66.45
Bacardi Superior White Rum|3L|160.25
Captain Morgan White Rum|375ml|18.45
Captain Morgan White Rum|750ml|30.95
Captain Morgan White Rum|1.14L|46.95
Captain Morgan White Rum|1.75L|69.95
Havana Club Original 3 Year Rum|1.14L|51.30
#Spirits|Brandy|Liquor Store
Sao Domingos Aguardente Vinica Velha 3 Year|700ml|51.95
Ararat 5 Year Brandy|700ml|59.95
